host_id,timestamp,carbon_intensity
host_br_dynamic_co2,0,100.07
host_br_dynamic_co2,3600,93.6
host_br_dynamic_co2,7200,93.89
host_br_dynamic_co2,10800,96.04
host_br_dynamic_co2,14400,95.0
host_br_dynamic_co2,18000,94.4
host_br_dynamic_co2,21600,94.11
host_br_dynamic_co2,25200,94.99
host_br_dynamic_co2,28800,96.44
host_br_dynamic_co2,32400,99.76
host_fr_dynamic_co2,0,29.09
host_fr_dynamic_co2,3600,30.08
host_fr_dynamic_co2,7200,32.33
host_fr_dynamic_co2,10800,32.96
host_fr_dynamic_co2,14400,33.0
host_fr_dynamic_co2,18000,33.41
host_fr_dynamic_co2,21600,34.52
host_fr_dynamic_co2,25200,33.63
host_fr_dynamic_co2,28800,32.17
host_fr_dynamic_co2,32400,31.95
host_usa_dynamic_co2,0,453.54
host_usa_dynamic_co2,3600,441.48
host_usa_dynamic_co2,7200,437.93
host_usa_dynamic_co2,10800,437.61
host_usa_dynamic_co2,14400,442.29
host_usa_dynamic_co2,18000,447.18
host_usa_dynamic_co2,21600,452.04
host_usa_dynamic_co2,25200,453.96
host_usa_dynamic_co2,28800,455.13
host_usa_dynamic_co2,32400,457.54
